DATE,MORTGAGE15US
1/7/2000,7.73
1/14/2000,7.78
1/21/2000,7.86
1/28/2000,7.84
2/4/2000,7.85
2/11/2000,7.96
2/18/2000,8
2/25/2000,7.92
3/3/2000,7.84
3/10/2000,7.81
3/17/2000,7.83
3/24/2000,7.84
3/31/2000,7.84
4/7/2000,7.83
4/14/2000,7.76
4/21/2000,7.82
4/28/2000,7.79
5/5/2000,7.94
5/12/2000,8.17
5/19/2000,8.31
5/26/2000,8.31
6/2/2000,8.24
6/9/2000,8.04
6/16/2000,7.91
6/23/2000,7.85
6/30/2000,7.92
7/7/2000,7.88
7/14/2000,7.8
7/21/2000,7.93
7/28/2000,7.85
8/4/2000,7.88
8/11/2000,7.75
8/18/2000,7.7
8/25/2000,7.72
9/1/2000,7.67
9/8/2000,7.65
9/15/2000,7.6
9/22/2000,7.57
9/29/2000,7.53
10/6/2000,7.5
10/13/2000,7.52
10/20/2000,7.5
10/27/2000,7.36
11/3/2000,7.41
11/10/2000,7.44
11/17/2000,7.41
11/24/2000,7.41
12/1/2000,7.35
12/8/2000,7.19
12/15/2000,7.11
12/22/2000,6.84
12/29/2000,6.79
1/5/2001,6.74
1/12/2001,6.49
1/19/2001,6.63
1/26/2001,6.7
2/2/2001,6.66
2/9/2001,6.6
2/16/2001,6.61
2/23/2001,6.69
3/2/2001,6.58
3/9/2001,6.52
3/16/2001,6.54
3/23/2001,6.44
3/30/2001,6.46
4/6/2001,6.54
4/13/2001,6.55
4/20/2001,6.66
4/27/2001,6.63
5/4/2001,6.66
5/11/2001,6.61
5/18/2001,6.67
5/25/2001,6.76
6/1/2001,6.78
6/8/2001,6.74
6/15/2001,6.7
6/22/2001,6.65
6/29/2001,6.63
7/6/2001,6.74
7/13/2001,6.76
7/20/2001,6.65
7/27/2001,6.58
8/3/2001,6.54
8/10/2001,6.54
8/17/2001,6.48
8/24/2001,6.47
8/31/2001,6.47
9/7/2001,6.44
9/14/2001,6.39
9/21/2001,6.3
9/28/2001,6.23
10/5/2001,6.11
10/12/2001,6.06
10/19/2001,6.09
10/26/2001,6.13
11/2/2001,6.04
11/9/2001,5.94
11/16/2001,5.98
11/23/2001,6.24
11/30/2001,6.53
12/7/2001,6.3
12/14/2001,6.57
12/21/2001,6.65
12/28/2001,6.65
1/4/2002,6.62
1/11/2002,6.55
1/18/2002,6.31
1/25/2002,6.44
2/1/2002,6.51
2/8/2002,6.36
2/15/2002,6.35
2/22/2002,6.28
3/1/2002,6.28
3/8/2002,6.37
3/15/2002,6.59
3/22/2002,6.65
3/29/2002,6.69
4/5/2002,6.64
4/12/2002,6.49
4/19/2002,6.42
4/26/2002,6.35
5/3/2002,6.26
5/10/2002,6.27
5/17/2002,6.37
5/24/2002,6.28
5/31/2002,6.22
6/7/2002,6.18
6/14/2002,6.17
6/21/2002,6.08
6/28/2002,5.99
7/5/2002,6.03
7/12/2002,6
7/19/2002,5.93
7/26/2002,5.76
8/2/2002,5.84
8/9/2002,5.69
8/16/2002,5.63
8/23/2002,5.71
8/30/2002,5.64
9/6/2002,5.56
9/13/2002,5.59
9/20/2002,5.47
9/27/2002,5.41
10/4/2002,5.4
10/11/2002,5.34
10/18/2002,5.56
10/25/2002,5.7
11/1/2002,5.51
11/8/2002,5.48
11/15/2002,5.32
11/22/2002,5.44
11/29/2002,5.57
12/6/2002,5.6
12/13/2002,5.46
12/20/2002,5.42
12/27/2002,5.32
1/3/2003,5.24
1/10/2003,5.33
1/17/2003,5.36
1/24/2003,5.31
1/31/2003,5.28
2/7/2003,5.27
2/14/2003,5.26
2/21/2003,5.21
2/28/2003,5.14
3/7/2003,5.01
3/14/2003,4.93
3/21/2003,5.11
3/28/2003,5.21
4/4/2003,5.06
4/11/2003,5.17
4/18/2003,5.12
4/25/2003,5.12
5/2/2003,5.03
5/9/2003,4.97
5/16/2003,4.84
5/23/2003,4.73
5/30/2003,4.73
6/6/2003,4.66
6/13/2003,4.6
6/20/2003,4.62
6/27/2003,4.63
7/4/2003,4.75
7/11/2003,4.85
7/18/2003,5
7/25/2003,5.27
8/1/2003,5.44
8/8/2003,5.66
8/15/2003,5.58
8/22/2003,5.6
8/29/2003,5.66
9/5/2003,5.77
9/12/2003,5.46
9/19/2003,5.3
9/26/2003,5.3
10/3/2003,5.1
10/10/2003,5.26
10/17/2003,5.36
10/24/2003,5.39
10/31/2003,5.26
11/7/2003,5.31
11/14/2003,5.39
11/21/2003,5.17
11/28/2003,5.22
12/5/2003,5.36
12/12/2003,5.24
12/19/2003,5.14
12/26/2003,5.13
12/31/2003,5.15
1/8/2004,5.17
1/15/2004,4.97
1/22/2004,4.95
1/29/2004,4.97
2/5/2004,5.03
2/12/2004,4.96
2/19/2004,4.87
2/26/2004,4.89
3/4/2004,4.88
3/11/2004,4.69
3/18/2004,4.69
3/25/2004,4.7
4/1/2004,4.84
4/8/2004,5.12
4/15/2004,5.23
4/22/2004,5.25
4/29/2004,5.35
5/6/2004,5.47
5/13/2004,5.72
5/20/2004,5.67
5/27/2004,5.69
6/3/2004,5.63
6/10/2004,5.67
6/17/2004,5.7
6/24/2004,5.64
7/1/2004,5.62
7/8/2004,5.42
7/15/2004,5.4
7/22/2004,5.39
7/29/2004,5.49
8/5/2004,5.4
8/12/2004,5.24
8/19/2004,5.19
8/26/2004,5.21
