index,DATE,house_price,MORTGAGE30US,MORTGAGE15US,GDP_growth_rate,unemployment_rate,median_household_income,population_growth_rate,inflation_growth_rate
0,2000-01-01,100.551,8.21,7.8025,1.5,4.0,67470.0,1.15,3.39
1,2000-02-01,101.339,8.325,7.932499999999999,3.5,4.1,67377.5,1.15,3.39
2,2000-03-01,102.127,8.24,7.831999999999999,5.5,4.0,67285.0,1.15,3.39
3,2000-04-01,102.922,8.1525,7.8,7.5,3.8,67192.5,1.15,3.39
4,2000-05-01,103.678,8.515,8.182500000000001,5.133333333333333,4.0,67100.0,1.15,3.39
5,2000-06-01,104.424,8.288,7.992,2.7666666666666666,4.0,67007.5,1.15,3.39
6,2000-07-01,105.054,8.1475,7.865,0.4,4.0,66915.0,1.15,3.39
7,2000-08-01,105.768,8.0275,7.7625,1.0666666666666667,4.1,66822.5,1.15,3.39
8,2000-09-01,106.538,7.912000000000001,7.604000000000001,1.7333333333333334,3.9,66730.0,1.15,3.39
9,2000-10-01,107.382,7.795,7.47,2.4,3.9,66637.5,1.15,3.39
10,2000-11-01,108.302,7.745,7.4175,1.1666666666666665,3.9,66545.0,1.15,3.39
11,2000-12-01,109.14,7.382,7.056,-0.06666666666666687,3.9,66452.5,1.15,3.39
12,2001-01-01,109.846,7.0325,6.640000000000001,-1.3,4.2,66360.0,1.09,1.55
13,2001-02-01,110.5,7.05,6.640000000000001,-0.03333333333333344,4.2,66315.0,1.09,1.55
14,2001-03-01,111.109,6.952,6.508,1.2333333333333332,4.3,66270.0,1.09,1.55
15,2001-04-01,111.652,7.0775,6.595,2.5,4.4,66225.0,1.09,1.55
16,2001-05-01,112.164,7.145,6.675,1.1333333333333335,4.3,66180.0,1.09,1.55
17,2001-06-01,112.796,7.159999999999999,6.7,-0.23333333333333295,4.5,66135.0,1.09,1.55
18,2001-07-01,113.491,7.1275,6.6825,-1.6,4.6,66090.0,1.09,1.55
19,2001-08-01,114.167,6.95,6.5,-0.7000000000000001,4.9,66045.0,1.09,1.55
20,2001-09-01,114.812,6.8175,6.34,0.19999999999999996,5.0,66000.0,1.09,1.55
21,2001-10-01,115.31,6.6175,6.0975,1.1,5.3,65955.0,1.09,1.55
22,2001-11-01,115.857,6.6579999999999995,6.146,1.8666666666666667,5.5,65910.0,1.09,1.55
23,2001-12-01,116.455,7.0649999999999995,6.5425,2.6333333333333333,5.7,65865.0,1.09,1.55
24,2002-01-01,117.144,6.9975,6.48,3.4,5.7,65820.0,1.01,2.38
25,2002-02-01,117.845,6.8925,6.375,3.1,5.7,65823.33333333333,1.01,2.38
26,2002-03-01,118.687,7.014,6.516,2.8,5.7,65826.66666666667,1.01,2.38
27,2002-04-01,119.611,6.985,6.475,2.5,5.9,65830.0,1.01,2.38
28,2002-05-01,120.724,6.806,6.279999999999999,2.2,5.8,65833.33333333333,1.01,2.38
29,2002-06-01,121.813,6.65,6.105,1.9,5.8,65836.66666666667,1.01,2.38
30,2002-07-01,122.888,6.485,5.93,1.6,5.8,65840.0,1.01,2.38
31,2002-08-01,123.83,6.29,5.702,1.2333333333333334,5.7,65843.33333333333,1.01,2.38
32,2002-09-01,124.78,6.0925,5.5075,0.8666666666666667,5.7,65846.66666666667,1.01,2.38
33,2002-10-01,125.735,6.1125,5.5,0.5,5.7,65850.0,1.01,2.38
34,2002-11-01,126.67,6.068,5.464,1.0333333333333332,5.9,65853.33333333333,1.01,2.38
35,2002-12-01,127.624,6.0475,5.45,1.5666666666666667,6.0,65856.66666666667,1.01,2.38
36,2003-01-01,128.461,5.9159999999999995,5.304,2.1,5.8,65860.0,0.96,1.88
37,2003-02-01,129.355,5.8425,5.22,2.6,5.9,65851.66666666667,0.96,1.88
38,2003-03-01,130.148,5.745,5.0649999999999995,3.1,5.9,65843.33333333333,0.96,1.88
39,2003-04-01,130.884,5.8125,5.1175,3.6,6.0,65835.0,0.96,1.88
40,2003-05-01,131.735,5.484,4.86,4.666666666666667,6.1,65826.66666666667,0.96,1.88
41,2003-06-01,132.649,5.23,4.6274999999999995,5.733333333333333,6.3,65818.33333333333,0.96,1.88
42,2003-07-01,133.777,5.6325,4.967499999999999,6.8,6.2,65810.0,0.96,1.88
43,2003-08-01,134.969,6.264,5.588,6.1,6.1,65801.66666666667,0.96,1.88
44,2003-09-01,136.294,6.1475,5.4575,5.4,6.1,65793.33333333333,0.96,1.88
45,2003-10-01,137.531,5.952,5.273999999999999,4.7,6.0,65785.0,0.96,1.88
46,2003-11-01,138.794,5.9325,5.2725,3.9,5.8,65776.66666666667,0.96,1.88
47,2003-12-01,140.179,5.8759999999999994,5.204,3.0999999999999996,5.7,65768.33333333333,0.96,1.88
48,2004-01-01,141.646,5.7125,5.015,2.3,5.7,65760.0,0.97,3.26
49,2004-02-01,143.192,5.635,4.9375,2.5666666666666664,5.6,65845.0,0.97,3.26
50,2004-03-01,145.059,5.445,4.74,2.8333333333333335,5.8,65930.0,0.97,3.26
